"Date","BAJAJ-AUTO.NS","EICHERMOT.NS","HEROMOTOCO.NS","M&M.NS","GRASIM.NS","ULTRACEMCO.NS","ASIANPAINT.NS","BRITANNIA.NS","HINDUNILVR.NS","TITAN.NS","BPCL.NS","NTPC.NS","ONGC.NS","POWERGRID.NS","AXISBANK.NS","HDFCBANK.NS","ICICIBANK.NS","INDUSINDBK.NS","HCLTECH.NS","INFY.NS","TCS.NS","TECHM.NS","COALINDIA.NS","HINDALCO.NS","JSWSTEEL.NS","VEDL.NS"
"2017-05-10","2789.806152","27662.550781","3114.6411129999997","669.76355","894.2212519999999","4345.156738000001","1141.8752439999998","1806.108887","968.224243","477.998596","445.44403099999994","124.240021","172.908096","195.63003500000002","521.228821","1531.773193","262.973206","1415.3984380000002","823.925232","426.02706900000004","1106.320068","411.127716","249.07208300000002","185.286087","191.282455","210.61785899999998"
"2017-05-11","2879.748779","29250.482422000005","3243.908203","669.641846","887.2061160000001","4389.876953","1149.909546","1804.6781010000002","951.121033","496.57751500000006","446.912018","122.74636799999999","168.90625","193.492493","511.87085","1526.4428710000002","264.337921","1409.8630369999998","819.1395259999999","426.230225","1114.383545","415.28292799999997","245.18241899999998","191.772568","188.376892","217.43576000000002"
"2017-05-12","2885.847412","28961.841797000005","3318.591797","665.602966","880.996643","4381.768066","1116.8845210000002","1802.673096","952.5301509999999","490.483612","448.441467","121.67371399999999","170.05621299999999","191.680252","498.10604900000004","1531.6251220000001","261.124146","1395.4807130000002","827.880798","435.327301","1119.695679","422.447113","247.32842999999997","189.1978","190.943466","218.12675499999997"
"2017-05-15","2880.948975","28715.976563","3294.181396","669.39856","899.088684","4414.947754","1131.770508","1820.834839","955.494019","479.237152","445.199005","122.363091","171.804138","192.09845","495.234283","1533.352539","265.747253","1399.8792720000001","828.759766","429.593628","1121.811646","422.781433","248.35673500000001","196.526047","195.350235","221.950302"
"2017-05-16","2904.287354","29144.673827999995","3391.5886229999996","664.873108","894.33606","4462.154297","1126.644165","1826.3341059999998","972.159973","483.844757","448.533203","122.516586","170.332184","192.749008","496.62066699999997","1539.521851","266.495026","1420.390259","829.7851559999999","431.15121500000004","1152.186646","423.879944","246.74723799999998","194.59493999999998","195.301804","219.370575"
"2017-05-17","2919.365723","28877.767577999995","3416.467529","670.931335","897.5942380000001","4448.07666","1138.572632","1785.81543","980.905823","477.35452300000003","444.955017","121.712326","169.734207","194.050125","497.90799000000004","1537.054199","272.747253","1409.022705","833.6431269999999","430.15799000000004","1164.623291","411.55755600000003","247.10488900000001","196.92216499999998","200.19281","223.28625499999998"
"2017-05-18","2855.402344","28146.931641000003","3365.960205","658.303955","866.507202","4318.792969","1135.0235599999999","1730.2592769999999","962.296448","467.34668","437.27832","120.86945300000001","166.422302","193.538971","487.213074","1537.004639","271.16265899999996","1390.389893","828.6132809999999","434.19866900000005","1202.967407","403.390411","247.19430499999999","192.119186","185.37446599999998","212.967255"
"2017-05-19","2854.969971","27728.855469","3346.8439940000003","648.839478","858.956665","4338.242676","1107.223511","1743.5253910000001","979.545349","466.85122699999994","429.663086","121.86489099999999","165.64033500000002","191.215591","496.81872599999997","1541.101196","270.369354","1373.23999","824.999573","432.483063","1189.183716","397.515808","247.01545699999997","189.14827","187.408386","212.23019399999998"
"2017-05-22","2798.785889","26988.191406","3338.223145","635.6281740000001","848.990234","4247.709473","1096.773804","1768.21814","989.8461300000001","477.00769","425.4729","121.175522","162.972443","188.195145","497.412872","1555.660889","267.551758","1373.289429","837.452209","434.063171","1200.6716310000002","393.885986","244.869461","188.40553300000002","186.100876","210.89424100000002"
"2017-05-23","2713.1171879999997","27393.462891000003","3359.35376","648.03656","840.902283","4245.470703","1083.317505","1749.121948","995.871216","473.98556500000007","427.889587","120.21868899999998","160.672516","187.172852","495.729431","1548.849976","269.48889199999996","1377.885742","844.728516","432.189575","1196.0896","397.133698","239.50441","190.13858000000002","187.456802","212.59872400000003"
